# Pathway	BIOME168077_S1_done_Abundance	BIOME168081_S2_done_Abundance	BIOME168093_S3_done_Abundance	BIOME168302_S4_done_Abundance	BIOME168314_S6_done_Abundance	BIOME168318_S5_done_Abundance	BIOME168326_S7_done_Abundance	BIOME168631_S37_done_Abundance	BIOME168635_S8_done_Abundance	BIOME168639_S9_done_Abundance	BIOME168643_S10_done_Abundance	BIOME168647_S11_done_Abundance	BIOME168651_S12_done_Abundance	BIOME168655_S13_done_Abundance	BIOME168667_S14_done_Abundance	BIOME168671_S15_done_Abundance	BIOME169177_S17_done_Abundance	BIOME169181_S16_done_Abundance	BIOME169201_S19_done_Abundance	BIOME169205_S18_done_Abundance	BIOME169225_S20_done_Abundance	BIOME169229_S21_done_Abundance	BIOME169624_S22_done_Abundance	BIOME169628_S23_done_Abundance	BIOME169715_S24_done_Abundance	BIOME169719_S25_done_Abundance	BIOME169727_S26_done_Abundance	BIOME169731_S27_done_Abundance	BIOME169735_S28_done_Abundance	BIOME169739_S29_done_Abundance	BIOME169763_S30_done_Abundance	BIOME169767_S31_done_Abundance	BIOME169832_S32_done_Abundance	BIOME169848_S33_done_Abundance	BIOME171068_S34_done_Abundance	BIOME171072_S35_done_Abundance	BIOME171096_S36_done_Abundance	BIOME172176_S38_done_Abundance	BIOME172196_S39_done_Abundance	BIOME172200_S40_done_Abundance	BIOME172204_S41_done_Abundance	BIOME172208_S42_done_Abundance	BIOME172212_S43_done_Abundance	BIOME172216_S44_done_Abundance	BIOME181988_S57_done_Abundance	BIOME181992_S58_done_Abundance	BIOME182044_S45_done_Abundance	BIOME182048_S46_done_Abundance	BIOME182052_S47_done_Abundance	BIOME182060_S48_done_Abundance	BIOME182064_S49_done_Abundance	BIOME182068_S50_done_Abundance	BIOME182072_S51_done_Abundance	BIOME182743_S52_done_Abundance	BIOME182751_S53_done_Abundance	BIOME182755_S66_done_Abundance	BIOME182759_S65_done_Abundance	BIOME182763_S67_done_Abundance	BIOME182767_S74_done_Abundance	BIOME182783_S61_done_Abundance	BIOME182787_S54_done_Abundance	BIOME182791_S56_done_Abundance	BIOME182795_S55_done_Abundance	BIOME186176_S60_done_Abundance	BIOME186180_S59_done_Abundance	BIOME186184_S62_done_Abundance	BIOME186317_S63_done_Abundance	BIOME186321_S64_done_Abundance	BIOME186337_S70_done_Abundance	BIOME186341_S73_done_Abundance	BIOME186345_S68_done_Abundance	BIOME186349_S69_done_Abundance	BIOME186357_S71_done_Abundance	BIOME186361_S72_done_Abundance	BIOME186365_S75_done_Abundance	BIOME186381_S76_done_Abundance	BIOME186385_S77_done_Abundance
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85893e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0.00672968	0.00820677	0.00834192	0.00885823	0.0080887	0.00861223	0.00706372	0.00819895	0.00920872	0.00737678	0.00750254	0.00840186	0.0122151	0.00824333	0.00505664	0.00856116	0.00852603	0.0090941	0.0090799	0.00868044	0.006941	0.00595058	0.00711953	0.00701258	0.00826478	0.00691301	0.0066424	0.00759884	0.00879864	0.00663429	0.00835371	0.00948151	0.00511447	0.00876063	0.00884885	0.00856571	0.00847065	0.00899044	0.00850234	0.00895594	0.00812354	0.00830703	0.00827482	0.00692442	0.00796406	0.00856813	0.00707019	0.00890786	0.00870825	0.0078413	0.00823462	0.00467879	0.0073387	0.00772951	0.010469	0.00785564	0.00908535	0.00727719	0.00787567	0.00852208	0.00813071	0.00596798	0.0101878	0.00767223	0.00729466	0.00819982	0.00609706	0.00785383	0.00747088	0.00808167	0	0.00725233	0.00762377	0.00866637	0.00780264	0.00956321	0.00795084
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	7.10209e-05	0	0.000231197	0.000119158	0	0	0	0	0	0	0	0	0	2.11446e-05	2.90963e-05	0.00014325	0.000312965	0	7.16756e-05	0	0	0	0	0	1.49694e-05	0	0	6.73179e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53532e-05	3.62065e-05	0	2.31982e-05	0	0	0.000212133	0	0	0	0.000507243	0	0	0	0	0.000188322	0	0	0	0	0	0	0	0.000234416	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	1.85463e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103376	0	0	0	0	0	0	2.42786e-05	0.000193485	0	0	0	3.37519e-05	0	0	3.33534e-05	0	0	0	0	0	0	3.25475e-05	0	0	0	0	0	0	0.000183067	0	0	0	0	0	0	0	0.00109535	0	0	0	0.000104954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	5.48765e-05	0	0	0	0	0	4.23624e-05	0	0	0	0.000179766	0	0	0	0	0	3.31082e-05	0	0	2.4998e-05	0.00010522	0	0	0	0	0.000455731	0	0	0	4.26494e-05	0	0	0.000989651	0.000149083	0	0	0	0	0	0	0	0	0	0.00028069	4.73085e-05	0	0.000209216	1.43138e-05	0	0	9.26045e-05	8.63611e-05	7.69816e-05	2.42034e-05	0	0.000208619	0	0	0	0	0	0	0	0	0	0.000103396	0.000139053	0	0	0	0	0	0.000228874	0	0	0	0.000140738
ANAEROFRUCAT-PWY: homolactic fermentation	0.00402845	0.00239846	0.00454922	0.00363835	0.00417083	0.00396268	0.00478499	0.00230439	0.00286831	0.00361413	0.00393547	0.00399599	0.000822426	0.00643521	0.00467579	0.00200508	0.0038008	0.00319807	0.00206841	0.00354137	0.00467791	0.00464752	0.00499174	0.00365772	0.00528069	0.00461477	0.00496262	0.00274473	0.00287228	0.0049459	0.00418535	0.00455435	0.00476794	0.00323187	0.00372012	0.00530727	0.00395332	0.00369135	0.00327473	0.00319844	0.00287268	0.00266413	0.00319198	0.00425989	0.00357118	0.00241029	0.00339833	0.00465019	0.00436525	0.00382002	0.00570712	0.00428273	0.00401158	0.00711843	0.00408164	0.00390377	0.00386223	0.00495649	0.00598991	0.00403972	0.00495799	0.00438593	0.00306105	0.0045859	0.00386543	0.00501542	0.00422255	0.00320311	0.00408821	0.0036315	0	0.00525554	0.00433024	0.00381426	0.00529117	0.00256607	0.00601602
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00688521	0.00895944	0.00976573	0.0086078	0.00962475	0.0102334	0.0102241	0.0103954	0.0105578	0.00864318	0.00768766	0.00818654	0.0115527	0.00907069	0.00633823	0.0102158	0.00816	0.0094918	0.0114066	0.010595	0.00787127	0.0069249	0.00724587	0.00766804	0.00872557	0.00820045	0.00860497	0.00992147	0.0106629	0.0089059	0.00971728	0.00945491	0.00596755	0.00865879	0.00936448	0.0106881	0.00977335	0.0099156	0.0113787	0.0104454	0.011194	0.00978196	0.0106475	0.00822864	0.0105604	0.00988604	0.00933798	0.00916589	0.00931989	0.00959646	0.00830485	0.00572632	0.00904679	0.00917513	0.00749056	0.00936486	0.00911831	0.00782887	0.00889836	0.0106494	0.0100441	0.00702817	0.0107734	0.00996606	0.0113277	0.00817084	0.00694427	0.0101829	0.0101337	0.00970815	0	0.0102202	0.00792531	0.00791735	0.00897775	0.0107407	0.00919236
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00279275	0.00101363	0.000109367	0.00140646	0.00116587	0.000702407	0.00147565	0.00155799	0.00144076	0.00198467	0.00244031	0.000814065	0.000286942	0.000352843	0.00193613	0.00145874	0.00129272	0.000939621	0.00108412	0.000559221	0.00267847	0.00295381	0.00189526	0.00180998	0.000722197	0.00210589	0.001468	0.00213917	0.0007777	0.00132828	0.00111869	0.000936604	0.00295076	0.00180231	0.00122773	0.000919448	0.00123771	0.000947783	0.00150078	0.000702875	0.000519743	0.000398649	0.000894966	0.0020778	0.00141384	0.00130462	0.00254401	0.000302747	0.000733927	0.000957802	0.00159281	0.00423144	0.00138671	0.000326805	0.000970566	0.00230561	0.000554041	0.00151797	0.00095636	0.00116605	0.00161224	0.00297185	0.00110077	0.000516054	0.000188081	0.00226136	0.0032716	0.00133872	0.000121298	0.00167722	0	0.0010009	0.00165191	0.00242427	0.00249341	0.00131606	0.00119889
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.000303265	0	0	0	0	0	0	0.000149937	0	0	0.000116425	0	0	0	0.000487228	0	0	0	0	0	0.000634441	0.000169713	0	1.01258e-05	0	0.000172779	0	0	0	1.00097e-05	6.58393e-05	0	0	0	0.000105663	0	0	0	0	0	1.18119e-05	0	0	0	0	0	0	0	0	0	0	0.00164316	0.000166048	0	2.01469e-05	0	0	0	0	0	0	0.00040735	0	0	0	2.89683e-05	0	0	0	0	0	0	0	0.000116132	0.000210785	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00217307	0.00162853	0.00433613	0.00502513	0.00248299	0.000533441	0.000198923	0.000223043	0.00139372	0.00196688	0.00371696	0.00450508	0.000796493	0.000803811	0.00195869	0.00124277	0.00185408	0.0014564	0.0004824	0.000313025	0.000809427	0.00189468	0.00256731	0.00141618	0.00239596	0.00140092	0.000528002	0.00118991	0.000562875	0.000755391	0.0033296	0.0020224	0.00211171	0.00176977	0.00252417	0.00066575	0.0019288	0.0019617	0.000467482	0.00107553	0.000261485	0.00177145	0.000119274	0.000794381	0.000352624	0.00279527	0.000804529	0.0016717	0.00170462	0.00144092	0.000703306	0.00225355	0.000170584	0.000634701	0.00564198	0.0019921	0.00433552	0.000499881	0.0012112	0.000316798	0.00104114	0.000846769	0.00138389	0.0018273	0.000251724	0.00108724	0.00176226	0.00133511	0.000430447	0.00103811	0	0.000707658	0.00209965	0.0030657	0.000481637	0.000667571	0.000732881
