"kingdom","phylum","class","order","family","genus","species"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_coli"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_onderdonkii"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_vulgatus"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella_intestinihominis"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella_biformis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium_prausnitzii"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_unclassified","Rikenellaceae_bacterium"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Gemmiger","Gemmiger_SGB15295"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_putredinis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_shahii"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_eutactus"
"Bacteria","Bacteroidota","CFGB11479","OFGB11479","FGB11479","GGB1631","GGB1631_SGB2239"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter_saccharivorans"
"Bacteria","Firmicutes","CFGB10477","OFGB10477","FGB10477","GGB9345","GGB9345_SGB14311"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis","Candidatus_Cibionibacter","Candidatus_Cibionibacter_quicibialis"
"Bacteria","Firmicutes","CFGB2984","OFGB2984","FGB2984","GGB9347","GGB9347_SGB14313"
"Bacteria","Actinobacteria","CFGB12107","OFGB12107","FGB12107","GGB34797","GGB34797_SGB14322"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9708","GGB9708_SGB15234"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB33512","GGB33512_SGB15201"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_wexlerae"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_obeum"
"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter_smithii"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","GGB9760","GGB9760_SGB15374"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9602","GGB9602_SGB15031"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9715","GGB9715_SGB15260"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Monoglobus","Monoglobus_pectinilyticus"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_muciniphila"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","GGB3278","GGB3278_SGB4328"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_distasonis"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_stercoris"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus_bromii"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter_laneus"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens"
"Bacteria","Firmicutes","CFGB79294","OFGB79294","FGB79294","GGB87445","GGB87445_SGB15180"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_faecis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_faecis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum","Agathobaculum_butyriciproducens"
"Bacteria","Firmicutes","CFGB1354","OFGB1354","FGB1354","GGB3304","GGB3304_SGB4367"
"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4567","GGB4567_SGB6308"
"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","Cloacibacillus_porcorum"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB41366","GGB41366_SGB58424"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified","Clostridiaceae_bacterium"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified","Lachnospiraceae_bacterium"
