"family","LBD-01","LBD-Control-01","LBD-02","LBD-Control-02","LBD-Control-25","LBD-25","LBD-03","LBD-Control-03","LBD-04","LBD-Control-04","LBD-Control-05","LBD-05","LBD-06","LBD-Control-06","LBD-07","LBD-Control-07","LBD-Control-08","LBD-08","LBD-Control-09","LBD-09","LBD-Control-10","LBD-10","LBD-11","LBD-Control-11","LBD-12","LBD-Control-12","LBD-13","LBD-Control-13","LBD-14","LBD-Control-14","LBD-15","LBD-Control-15","LBD-16","LBD-Control-16","LBD-17","LBD-Control-17","LBD-18","LBD-Control-18","LBD-19","LBD-Control-19","LBD-20","LBD-Control-20","LBD-Control-23","LBD-21","LBD-Control-21","LBD-22","LBD-Control-22","LBD-23","LBD-Control-24","LBD-24","iRBD-01","iRBD-Control-01","iRBD-02","iRBD-Control-02","iRBD-03","iRBD-Control-03","iRBD-04","iRBD-Control-04","iRBD-05","iRBD-Control-05","iRBD-06","iRBD-Control-06","iRBD-07","iRBD-Control-07","iRBD-08","iRBD-Control-08","iRBD-09","iRBD-Control-09","iRBD-10","iRBD-Control-10"
"Bacteroidaceae",0.0586871647877011,0.0903425090342509,0.263541294583482,0.337238797656721,0.1386983,0,0,0,0,0.127401925480385,0.25512974897405,0.353421193973642,0,0,0.058408164955101,0.0546051,0.0885535177107035,0.069004372398251,0,0,0.192029657608897,0.0853848573075714,0.173129882687012,0.101725698274302,0,0.0619525752189699,0,0,0.209520658095869,0.111494644252678,0.105487010548701,0.0916526725041983,0.146421387852833,0,0,0,0,0.0955125477562739,0.11423286573014,0.0871290390096727,0.0504091949590805,0.0588622823413153,0.407485144491087,0,0.0546996328197797,0,0.0822827740544967,0.0605623121124624,0,0,0,0.162489897493938,0.1129117,0.110743877851224,0,0.115058676988265,0,0,0,0.161435267712946,0,0,0,0.0507557949244205,0.0525696947430305,0.0590111059011106,0,0,0.132929879757928,0.183643318364332
"Lachnospiraceae",0.1675854994487,0.328020932802093,0.269645792141683,0.142555814466511,0.2736582,0.327930863965432,0.194597980540202,0.518777503755501,0.197765480223452,0.356435371287074,0.192166861566628,0.157797252660824,0.780485421951457,0.346420365357964,0.130258421844947,0.2956417,0.104380520876104,0.428368028652788,0.594163940583606,0.392610696305348,0.099709629912889,0.474324762837619,0.361012063898794,0.312194587805412,0.232081507167397,0.279681288127485,0.370868822521293,0.156243853126844,0.365192126961575,0.294141452929274,0.170408817040882,0.263270821018754,0.412850347710208,0.442631444263144,0.279999455999891,0.56005247597901,0.287259070192744,0.447753623876812,0.369923189023043,0.521994034604176,0.367331963266804,0.473522557943233,0.224910434946261,0.413385558661444,0.205084423050654,0.164088034364786,0.610811049729945,0.318089863617973,0.387802577560515,0.225744977425502,0.228160754367849,0.260837756502654,0.328699,0.453077409384518,0.384503053801222,0.472219805556039,0.475747952425205,0.265553093778762,0.421109242110924,0.472834405433119,0.286260985878296,0.220638277936172,0.418241190879404,0.277181972281803,0.212513678748632,0.372948237294824,0.1908403,0.177446124212287,0.252444551466731,0.0905981090598109
"OO",0.501546699071981,0.214119121411912,0.182149027140389,0.212791972324816,0.2605663,0.377733888866945,0.335556566444343,0.229583945916789,0.404168259583174,0.284680156936031,0.213910657217869,0.144432156670353,0.219493778050622,0.316369768363023,0.44511803292918,0.284392,0.362966472593295,0.200956519617392,0.260759973924003,0.316783058391529,0.195449558634868,0.164157317921341,0.132172386782761,0.277869322130678,0.336430065427974,0.328618968552413,0.313335488001293,0.368618589414423,0.279653544069291,0.165246617376691,0.285070728507073,0.232742930177121,0.214950928970557,0.307203730720373,0.346368069273614,0.174039930384028,0.450562139550288,0.225849212924606,0.251692924492123,0.133487906558465,0.139262386073761,0.152029454391164,0.183166409899846,0.195318880468112,0.266850360110216,0.421715931313628,0.256039230435308,0.136482627296525,0.324413864882773,0.217971578202842,0.450735209852958,0.198563419138051,0.2693865,0.193196761360648,0.346146838458735,0.192534361493128,0.278681172131883,0.31013437594625,0.308406130840613,0.111445377710924,0.199386459815938,0.181222481877752,0.327361136319432,0.343117665688233,0.475433652456634,0.318763931876393,0.4073856,0.315612420928695,0.356712214027328,0.250818225081823
"Oscillospiraceae",0.162787202327679,0.207395120739512,0.18887352445059,0.30727981563211,0.2373602,0.15809557904779,0.178211982178802,0.167502133500427,0.312494568750543,0.231305546261109,0.194107461178508,0.150920754723774,0,0.097469290253071,0.158583204850077,0.2662866,0.198313339662668,0.162005435197826,0.144922185507781,0.229642014821007,0.168004250401275,0.137413031293484,0.115533688446631,0.202661697338303,0.160132835946866,0.202985118805953,0.258247754948653,0.213474735957579,0.145603170879366,0.165654817172591,0.0662663066266307,0.238553528433942,0.225606535363921,0.189073918907392,0.299485659897132,0.149922940030824,0.180870455303636,0.0850785425392713,0.191454342563697,0.106659025338682,0.0516347948365205,0,0,0,0.163546298127779,0.193678922528431,0,0.0684478136895627,0.152013230402646,0.112378288762171,0.140208971958206,0.248867149320289,0.1496071,0.24285735142853,0.269177007670803,0.220144155971169,0.193770180622982,0.2511944995222,0.270285227028523,0.198544560291088,0.122136936641081,0,0.168150715924642,0.190570680942932,0.202746079725392,0.249160124916013,0.2663163,0.255516278861395,0.107120164272099,0.147437614743762
"Rikenellaceae",0.109210134473919,0.098719609871961,0,0,0.0895068,0,0,0,0,0,0.0786063842787232,0.11255216623435,0,0,0,0.0989543000000001,0.176815535363107,0.0595804761678095,0,0,0,0.0562930718534641,0,0,0.0533523786590486,0,0,0,0,0.180029209985395,0,0.0738026778591967,0,0,0,0,0,0,0,0,0,0,0.115379169227502,0,0.0966023579614148,0,0,0.115907723181545,0.074356714871343,0.124823187517681,0.050282089943582,0,0.0537524,0,0,0,0,0,0,0.0555715888856822,0,0,0,0.0789933921006608,0,0,0,0.0823719576603704,0,0.250093025009303
"Eggerthellaceae",0,0.0612263061226306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527473789010484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacteriaceae",0,0,0.0957074617170153,0,0,0,0,0,0,0,0,0.0808326757501973,0,0.131406186859381,0,0,0,0,0,0,0,0,0,0.105374094625905,0,0,0,0.104507868647639,0,0.0832836583581708,0.372704937270494,0,0,0,0,0,0,0.0950221475110738,0,0,0.141493285850671,0,0,0,0,0,0,0.108987221797444,0,0.246692175330782,0,0,0.0855665,0,0,0,0,0.0583268766692493,0,0,0,0.546654045334595,0.0860627569686215,0.0592272940772706,0,0,0,0,0.150761290456774,0
"FGB3002",0,0,0,0,0,0.136158968079484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106594463956678,0.0771716691313324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772604077260408
"Clostridiaceae",0,0,0,0,0,0,0.0521105947889405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536884785246086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614559815632055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGB1765",0,0,0,0,0,0,0.115062888493711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739559147911829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543246891350622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
