"Row.names","lbd_BIOME168077","lbd_control_BIOME168081","lbd_BIOME168093","lbd_control_BIOME168302","lbd_control_BIOME168314","lbd_BIOME168318","lbd_BIOME168326","lbd_control_BIOME168631","lbd_BIOME168635","lbd_control_BIOME168639","lbd_control_BIOME168643","lbd_BIOME168647","lbd_BIOME168651","lbd_control_BIOME168655","lbd_BIOME168667","lbd_control_BIOME168671","lbd_control_BIOME169177","lbd_BIOME169181","lbd_control_BIOME169201","lbd_BIOME169205","lbd_control_BIOME169624","lbd_BIOME169628","lbd_BIOME169715","lbd_control_BIOME169719","lbd_BIOME169727","lbd_control_BIOME169731","lbd_BIOME169735","lbd_control_BIOME169739","lbd_BIOME169763","lbd_control_BIOME169767","lbd_BIOME169832","lbd_control_BIOME169848","lbd_BIOME171068","lbd_control_BIOME171072","lbd_BIOME172196","lbd_control_BIOME172200","lbd_BIOME182044","lbd_control_BIOME182048","lbd_BIOME182052","lbd_control_BIOME182060","lbd_BIOME182064","lbd_control_BIOME182068","lbd_control_BIOME182751","lbd_BIOME182763","lbd_control_BIOME182767","lbd_BIOME182791","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus","category","cohens_d","ci_low","ci_high","p_effect_size"
"Roseburia_hominis",0,0.0604686261365982,0.0274369928542053,0.0994659642486122,0.0468808025812475,0.0237340692863582,0.00797504495319417,0.0293964123996215,0.04804659796308,0.0706895950846707,0.0427072388037354,0.040308551096099,0,0,0.0266151614773897,0.0893044184805198,0.0501188888204551,0.0401006374744815,0.0204489178290302,0.0385231711582013,0.0526912638868148,0.0162426311955418,0,0.0427048772746777,0.0187520952049648,0.0319224951541774,0.0421159060780708,0.0492336994679755,0.0440176175754958,0.0223938288884742,0,0.0132555738620227,0.0664695844892758,0.0400719286323078,0.027160293094919,0.0489531683883485,0.0349956983281357,0.0815631187882922,0.00887705166477532,0,0.0113227852565898,0,0.08236827961565,0.0132253612475885,0.0552440519403524,0.0216373027465284,0.0186397572169809,0,0.0324649109540312,0.0138892903149782,0.0216373027465284,0.0427072388037354,-0.980304066548581,0.000888347961937217,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","LBD<Control",-0.692323396483471,-1.12426174262212,-0.248805253034851,2.11256730515301
"GGB9480_SGB14874",0,0.132254089710556,0.0934483081341604,0.148694173671661,0.0708469628597712,0.134945842177379,0,0.151127620495813,0,0.09803238629076,0.115072769060381,0.04259220788405,0.100770656926795,0,0,0,0.148434649515076,0,0.0479328574534802,0,0,0,0,0,0,0,0,0,0,0,0.122177861593461,0.196524167290116,0,0,0,0,0,0.200516337552165,0,0.153769172424228,0,0,0.0728855498507762,0,0.19276061252028,0,0.0997601111688082,0.112280414335461,0.209175638837627,0.0918197457357799,0,0.0728855498507762,-11.8352335609026,0.00325837273659166,0.312631868221538,"Bacteria","Firmicutes","CFGB3012","OFGB3012","FGB3012","GGB9480","LBD<Control",-0.662888679799525,-1.09136149345446,-0.223148626064614,1.64860364069788
"Parasutterella_SGB9260",0,0,0,0,0.065564136170234,0.02928216985635,0,0,0,0,0,0,0.0188849771047865,0.061666177088815,0,0,0.014234244772991,0,0,0,0,0,0,0,0,0,0,0.0121986612552917,0,0.049868422517007,0,0,0,0,0,0,0,0,0,0.0219152126947786,0.0105832022744669,0.00874653805104802,0.0370962525853322,0,0,0,0,0,0.0405327008471597,0,0,0,0,0.00279206051972893,0.312631868221538,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","All",-0.595903694600424,-1.01700822539719,-0.164310319126378,1.52198283147944
"GGB2653_SGB3574",0.0100251337460637,0.0076551388327932,0.0140361269188606,0.00793103278936713,0.0121370191150148,0,0,0.0143879924236419,0.0106632217514441,0.0128377991405359,0.0108122399208276,0,0.00791209833335543,0,0,0.0102812316564355,0.00894998071407014,0,0,0.00753665070485571,0,0,0,0.0140432463038678,0,0.0262079562045075,0.0106960007182497,0.0102080158773542,0,0.0157740455220329,0,0.0182191280283251,0.0230063837851275,0.0217180616388079,0,0.0139539442256378,0,0.0120294244358997,0,0.0179006703852325,0,0,0,0,0.00813643045731289,0.015023877392805,0.0137772341226672,0,0.0216211223711308,0.0330696006190678,0,0.0120294244358997,-9.23816441866347,0.0030554507305816,0.312631868221538,"Bacteria","Firmicutes","CFGB1011","OFGB1011","FGB1011","GGB2653","LBD<Control",-0.60041707958416,-1.02199489925361,-0.168295001068627,1.51000375270951
"GGB9522_SGB14921",0.0170771242583433,0.0121452569921487,0,0,0.0363108711097641,0,0.0292462605756786,0,0.021835194508152,0.0100798542331313,0,0,0,0,0.0335070056858929,0.0119794350705162,0.025958649420707,0.0233473514352846,0,0.0207740774568332,0,0,0,0,0.0274515751534128,0.02291924432923,0.0431712716439945,0,0,0,0,0,0.0141814527649881,0,0.0325126533269707,0,0.0262765740544678,0,0.0363962144883112,0,0,0,0,0,0,0.0321816262024209,0,0,0,0,0.0141814527649881,0,9.47523956382509,0.00250757107710487,0.312631868221538,"Bacteria","Firmicutes","CFGB79291","OFGB79291","FGB79291","GGB9522","LBD>Control",0.552675830142513,0.125993621714986,0.969421711714236,1.43736986797203
"Oscillospiraceae_bacterium_CLA_AA_H250",0.0747743901821972,0.166292404867045,0.244575984212473,0,0.0372564370471252,0.196863650457758,0.243233776082138,0,0.0837711138490645,0.181652304572126,0.205685813835864,0.160988578883533,0,0,0.181638723388192,0.0561347346820572,0.0624168037134805,0.118940233379528,0,0.232464783752316,0.176486711512959,0.248206449110933,0,0,0.204154407748916,0,0.18970494556382,0.135888466804414,0.1062516705872,0,0,0,0.26452739719626,0,0.074707272522966,0,0.125616522281157,0,0.246035780789147,0,0,0.0581507420634893,0.0457423236311055,0.114521325992666,0.224659459268665,0.051566025245666,0.0895091117912614,0,0,0.0476688619354657,0.118940233379528,0,12.5416127593439,0.00530281878296873,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified","LBD>Control",0.589579569996655,0.158721996994654,1.01002668229914,1.34158431069043
"GGB3444_SGB4594",0,0,0,0,0,0,0,0.00766166824782659,0,0.0133832256618398,0,0,0,0,0,0,0,0.00495985805063906,0,0,0,0,0,0.00730759174730116,0,0,0,0.0116664533607202,0,0.0108813884198565,0,0,0,0.0149838854957089,0,0,0,0,0.0067602279894903,0.0185994528802177,0,0,0,0,0,0,0,0,0.0213885447559827,0.0118155187180137,0,0,0,0.00571887563819887,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3444","All",-0.587012937736713,-1.00719515097234,-0.156452325318398,1.31648766227892
"Eubacterium_ramulus",0.00636400207897268,0.0481829459356202,0.0539928753689894,0.0406227342497411,0.0645102293061364,0,0,0,0.0418918389791232,0.0361548022576736,0.00904998450754347,0,0,0,0,0.0497880261865073,0,0.0466398536476474,0,0,0.0236728714945672,0.0101638332092661,0,0.11311884168166,0.0232249167977062,0.0784635037960895,0.0277866722558327,0,0,0,0,0.0665976872587662,0.0398791153294778,0.0649301298091504,0.0234328958148017,0.115357350463492,0,0.0365403175945728,0,0.122525772923488,0,0.00723193584721435,0,0.036870255711204,0,0.0626516684460747,0.126039106598401,0,0,0,0,0.0361548022576736,-10.8241890973228,0.00559508764331522,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","LBD<Control",-0.568868197538538,-0.987209494271271,-0.140379026190876,1.28120103280372
"GGB3475_SGB4638",0.0151101700435486,0,0,0,0.024008555584824,0,0,0,0.0257244220570466,0,0,0,0,0,0.0597724910112861,0.0252910333240201,0.0701281526939619,0.0845774061547202,0,0.0501848070040156,0,0,0,0.0140574826693582,0.00704278355725767,0,0,0,0,0,0,0,0.0265342353003177,0,0.0312572926238524,0,0,0,0.0361700156437829,0,0,0,0,0,0,0.0453498475312728,0,0,0,0,0,0,0,0.00473139847912169,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3475","All",0.536828477520545,0.111876298207786,0.952056815234341,1.2481318330099
"Bianquea_renquensis",0,0,0,0,0.0292787453333028,0,0,0,0,0,0.0360313956270278,0,0,0,0,0.0046583427273173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225585030845974,0.0115198039675147,0.0339667969290834,0,0,0,0,0,0.0162826153270757,0,0.0131723161800786,0,0,0,0,0.00531980111918607,0,0,0,0,0,0,0,0,0.00915348530778751,0.450351477143146,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Bianqueaceae","Bianquea","All",-0.558575008735288,-0.97589694088219,-0.131239060626645,1.13860684482953
