"species","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Actinomyces_bouchesdurhonensis",0,0,0,0.0160474944886973,0,0,0,0.379561355525049,0.834138454193711,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_naeslundii",0,0,0,0,0,0,0,0.101149344603176,0.584397656614292,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_oris",0,0.0120294226313985,0,0,0.00684110625398918,0,8.42570900810163,0.230535133249029,0.689408438738912,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0.0470256726194737,0.52504790428527,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_sp_ph3",0,0,0,0,0,0,0,0.172360489890156,0.683379104739591,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Adlercreutzia_equolifaciens",0.0138315715665351,0,0.0105595533348456,0,0.0512532994961634,0.0524578077934649,-0.0334997448901171,0.383504880848082,0.834138454193711,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Agathobaculum_butyriciproducens",0.0646779224701148,0.0249605589364316,0.0158373299471022,0.0389533972945409,0.0240168817004433,0.0451739653477569,-0.910881729077256,0.050992972100439,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum"
"Akkermansia_muciniphila",0,0.352560948822222,0.169518782327694,0.0448368888588066,0.035588414499046,0,10.8014221363584,0.062207247264083,0.52504790428527,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Akkermansia_sp_BIOML_A66",0,0,0,0,0,0,0,0.445672365383442,0.87401473381793,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Akkermansia_sp_KLE1798",0.227163584501572,0,0,0,0,0,0,0.371752002176312,0.834138454193711,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Alistipes_communis",0.0137844914877074,0,0,0,0,0,0,0.811520180146939,0.973943502064085,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_dispar",0,0,0,0,0,0,0,0.378941391969546,0.834138454193711,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_finegoldii",0,0.0991817286979772,0,0.130885441644645,0,0.0238915926547044,-10.2269132230777,0.569531189734212,0.918684841689998,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_ihumii",0.0177068644439929,0,0,0,0,0,0,0.864374450054511,0.979275237437679,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_indistinctus",0,0,0.0347575409700558,0.0818716221988881,0,0,0,0.626260537833967,0.928072845223831,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_onderdonkii",0.173736601584746,0.328183588696371,0.271665082166995,0.295555349573372,0.0555425128651325,0.0243765807466076,1.18743445552235,0.536991633509597,0.903021341663971,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_putredinis",0.0730828787819143,0,0,0.12787428102646,0.0693136973722062,0.125946005345926,-0.861406284381392,0.0813009246731618,0.56792219787486,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_senegalensis",0,0,0,0,0,0,0,0.414972262446136,0.857841819846634,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_shahii",0.0153107324363138,0,0.033844312735988,0,0.0527283169751907,0.0461390448580808,0.192511876435276,0.651319016939163,0.934628632319285,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_sp_AF17_16",0,0,0,0,0,0,0,0.236694673767723,0.693177258891188,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Amedibacillus_dolichus",0,0,0.0116492989381367,0.0409919602233886,0,0,0,0.501843816490152,0.888371813346811,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus"
"Anaerobutyricum_hallii",0.17454648394089,0.0750831999754433,0.193983613494692,0,0.0750831999754433,0.0920161651989673,-0.293326661591727,0.789156743045378,0.973074249297019,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum"
"Anaerobutyricum_soehngenii",0.0992132202978019,0,0,0,0.0275061899927026,0.0325633909012727,-0.243332201329412,0.921023537316535,0.987553875399655,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum"
"Anaerofilum_hominis",0,0,0,0,0,0,0,0.796998953608533,0.973609362131882,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum"
"Anaerofustis_stercorihominis",0,0.0370773532001562,0.0170155222951112,0.0230888429753989,0,0,0,0.613570979685219,0.924464909205242,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Anaerofustis"
"Anaeromassilibacillus_senegalensis",0,0,0.0383852030296877,0.0136459349016046,0.0114893757708716,0,9.17200950627035,0.672610646531923,0.935608766239681,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaeromassilibacillus"
"Anaerostipes_caccae",0.0139539532962955,0,0.045999918223935,0.0312124370607435,0,0,0,0.689836784390014,0.945403058272665,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes"
"Anaerostipes_hadrus",0,0.112706692539831,0,0.145935113804602,0.10480632316574,0.118115873514265,-0.172446157424659,0.442529346682607,0.87401473381793,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes"
"Anaerotignum_faecicola",0.0151300255533187,0,0,0,0,0,0,0.223386359079189,0.689408438738912,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"Anaerotruncus_colihominis",0,0.0323243572534397,0.035702125053047,0.01405748899564,0,0,0,0.613823811531408,0.924464909205242,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus"
