"species","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Actinomyces_bouchesdurhonensis",0.379561355525049,0.834138454193711,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_naeslundii",0.101149344603176,0.584397656614292,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_oris",0.230535133249029,0.689408438738912,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_sp_ICM47",0.0470256726194737,0.52504790428527,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_sp_ph3",0.172360489890156,0.683379104739591,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Adlercreutzia_equolifaciens",0.383504880848082,0.834138454193711,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Agathobaculum_butyriciproducens",0.050992972100439,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum"
"Akkermansia_muciniphila",0.062207247264083,0.52504790428527,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Akkermansia_sp_BIOML_A66",0.445672365383442,0.87401473381793,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Akkermansia_sp_KLE1798",0.371752002176312,0.834138454193711,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Alistipes_communis",0.811520180146939,0.973943502064085,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_dispar",0.378941391969546,0.834138454193711,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_finegoldii",0.569531189734212,0.918684841689998,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_ihumii",0.864374450054511,0.979275237437679,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_indistinctus",0.626260537833967,0.928072845223831,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_onderdonkii",0.536991633509597,0.903021341663971,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_putredinis",0.0813009246731618,0.56792219787486,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_senegalensis",0.414972262446136,0.857841819846634,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_shahii",0.651319016939163,0.934628632319285,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_sp_AF17_16",0.236694673767723,0.693177258891188,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
