"species","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Actinobaculum_sp_oral_taxon_183",0,0,0.0101293420653204,0,0,0,0,0.23409532885097,0.643077390399694,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinobaculum"
"Actinomyces_bouchesdurhonensis",0,0,0,0,0,0,0,0.411232306837485,0.727400925838693,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_graevenitzii",0,0,0,0,0,0,0,0.576032041307988,0.831575667476483,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_oris",0,0,0.0167130540092285,0,0,0,0,0.152943758969742,0.623849173981767,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0.111913171432367,0.611945762102077,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Adlercreutzia_equolifaciens",0.0224696453885935,0.0182191371389013,0.0381602880350006,0.0652413678693034,0.044165053929031,0.0366652458017081,0.268358809561165,0.537041589235324,0.796378173065624,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Agathobaculum_butyriciproducens",0,0.0141602804310259,0.0268155322533884,0.029370871822814,0.0334168599600359,0.0483701568732418,-0.533274876929727,0.06782124709594,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum"
"Akkermansia_muciniphila",0.119375304877304,0,0.0413239984945563,0.209964374527942,0.028891892124613,0.0113851822622584,1.34197715517134,0.259158880412494,0.650512032222878,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Akkermansia_sp_KLE1798",0,0.347729536322759,0,0,0,0,0,0.0814792858674399,0.600750593146475,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Alistipes_communis",0,0,0.0832285032275666,0.107207118288529,0.0203341750649111,0,9.9945272497654,0.189782690953837,0.63570185279367,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_finegoldii",0.0551278279692974,0.0537212922253468,0,0,0.026888729087698,0.0283572743733943,-0.0766619037821069,0.77131973081788,0.932466105746319,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_ihumii",0,0.0229192569370274,0,0,0,0,0,0.514658340134133,0.783291375552983,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_indistinctus",0.0429235511076975,0,0,0,0.0175500264221255,0,9.78231832692205,0.0369070032756581,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
