"species","p_value","LBD","LBD_control","qval"
"Escherichia_coli","1",0.52,0.56,1
"Alistipes_onderdonkii","0.520194749554762",0.8,0.68,1
"Phocaeicola_vulgatus","1",0.84,0.88,1
"Barnesiella_intestinihominis","0.753613520041634",0.24,0.32,1
"Faecalibacterium_prausnitzii","1",0.88,0.84,1
"Rikenellaceae_bacterium","0.138333215522726",0.28,0.08,1
"Gemmiger_SGB15295","1",0.16,0.16,1
"Alistipes_putredinis","0.41742654508612",0.8,0.92,1
"Alistipes_shahii","1",0.76,0.76,1
"Coprococcus_eutactus","0.0982776089159067",0.24,0.04,1
"Fusicatenibacter_saccharivorans","0.701939162602201",0.8,0.88,1
"GGB9345_SGB14311","0.128353795024484",0.44,0.2,1
"Candidatus_Cibionibacter_quicibialis","1",0.72,0.72,1
"GGB9347_SGB14313","0.348675640468953",0.16,0.04,1
"GGB34797_SGB14322","0.4962044870325",0.28,0.16,1
"GGB9708_SGB15234","1",0.4,0.4,1
"GGB33512_SGB15201","1",0.36,0.4,1
"Blautia_wexlerae",NA,1,1,NA
"Blautia_obeum","0.463490492683961",0.76,0.88,1
"Methanobrevibacter_smithii","0.773287279187032",0.36,0.44,1
"GGB9760_SGB15374","0.667100882906354",0.16,0.08,1
"GGB9602_SGB15031","1",0.28,0.28,1
"GGB9715_SGB15260","0.345130671689608",0.36,0.2,1
"Monoglobus_pectinilyticus","0.396103959450655",0.4,0.56,1
"Akkermansia_muciniphila","0.0222412956917225",0.72,0.36,1
"GGB3278_SGB4328","0.348675640468953",0.16,0.04,1
"Parabacteroides_distasonis","1",0.76,0.76,1
"Bacteroides_stercoris","1",0.4,0.44,1
"Ruminococcus_bromii","1",0.56,0.6,1
"Odoribacter_laneus","0.170622352801803",0.32,0.12,1
"Collinsella_aerofaciens","0.345130671689608",0.8,0.64,1
"GGB87445_SGB15180","1",0.12,0.12,1
"Mediterraneibacter_faecis","0.377154177611743",0.56,0.72,1
"Blautia_faecis","1",0.92,0.96,1
"Agathobaculum_butyriciproducens","0.463490492683961",0.76,0.88,1
"GGB3304_SGB4367","0.138333215522726",0.28,0.08,1
"Cloacibacillus_porcorum","1",0.12,0.08,1
"Clostridiaceae_bacterium","0.701939162602201",0.8,0.88,1
"Lachnospiraceae_bacterium","0.762413037183005",0.64,0.72,1
"Oscillospiraceae_bacterium","1",0.4,0.44,1
"Anaerostipes_hadrus","0.667100882906354",0.92,0.84,1
"Alistipes_communis","0.773287279187032",0.36,0.44,1
"Bacteroides_uniformis","1",0.88,0.88,1
"GGB4599_SGB6362","1",0.12,0.08,1
"Anaerobutyricum_soehngenii","1",0.6,0.64,1
"GGB36331_SGB15121","1",0.16,0.2,1
"Romboutsia_timonensis","0.25625435006028",0.44,0.64,1
"GGB9747_SGB15356","0.348675640468953",0.16,0.04,1
"Oscillibacter_sp_MSJ_31","0.0792068906018773",0.52,0.24,1
"GGB9342_SGB14306","1",0.28,0.28,1
"Gemmiger_formicilis","1",0.6,0.64,1
"Oscillospiraceae_bacterium_CLA_AA_H250","0.0377584473117957",0.8,0.48,1
"Roseburia_faecis","0.567184805720698",0.52,0.64,1
"Bacteroides_caccae","1",0.6,0.6,1
"GGB3653_SGB4964","0.701939162602201",0.8,0.88,1
"Parabacteroides_goldsteinii","1",0.24,0.28,1
"Parabacteroides_merdae","1",0.76,0.72,1
"Brotolimicola_acetigignens","0.538025350078065",0.64,0.76,1
"Eubacterium_rectale","0.0232154217451454",0.68,0.96,1
"Eubacterium_siraeum","1",0.56,0.56,1
"Faecalibacterium_SGB15346","1",0.32,0.36,1
"Holdemanella_porci","0.520194749554762",0.32,0.2,1
"Blautia_luti","0.725202447472273",0.24,0.16,1
"Dorea_longicatena","1",0.76,0.8,1
"GGB33469_SGB15236","0.363501593440889",0.4,0.24,1
"Slackia_isoflavoniconvertens","1",0.2,0.16,1
"Oscillibacter_sp_ER4","0.567184805720698",0.36,0.48,1
"Ellagibacter_isourolithinifaciens","0.41742654508612",0.2,0.08,1
"GGB9293_SGB14250","1",0.12,0.08,1
"Ruminococcus_torques","1",0.84,0.84,1
"Lachnospiraceae_bacterium_CLA_AA_H244","0.216534219430636",0.6,0.8,1
"Adlercreutzia_equolifaciens","1",0.88,0.88,1
"Bacteroides_ovatus","1",0.68,0.64,1
"GGB33512_SGB15203","1",0.2,0.2,1
"GGB9730_SGB15291","1",0.2,0.2,1
"Lachnospira_eligens","0.396103959450655",0.56,0.4,1
"Anaerobutyricum_hallii","0.762413037183005",0.72,0.64,1
"GGB9783_SGB15405","1",0.16,0.12,1
"GGB9524_SGB14924","0.701939162602201",0.2,0.12,1
"GGB9176_SGB14114","0.463490492683961",0.24,0.12,1
"Phascolarctobacterium_succinatutens","0.41742654508612",0.2,0.08,1
"Faecalicatena_fissicatena","0.377154177611743",0.28,0.44,1
"Blautia_massiliensis","0.4962044870325",0.72,0.84,1
"Senegalimassilia_anaerobia","1",0.2,0.16,1
"GGB9694_SGB15204","0.741643326683333",0.28,0.2,1
"Clostridiaceae_bacterium_Marseille_Q4149","0.701939162602201",0.2,0.12,1
"Clostridium_sp_AF36_4","0.777511985060768",0.52,0.44,1
"Clostridium_SGB6179","1",0.24,0.2,1
"Oscillibacter_valericigenes","1",0.72,0.76,1
"GGB32900_SGB53446","0.396103959450655",0.44,0.6,1
"Streptococcus_salivarius","1",0.88,0.84,1
"GGB9770_SGB15389","0.741643326683333",0.28,0.2,1
"Bacteroides_thetaiotaomicron","0.320891030139048",0.84,0.68,1
"Dorea_formicigenerans","1",0.8,0.76,1
"Blautia_glucerasea","0.725202447472273",0.76,0.84,1
"Dysosmobacter_welbionis","0.189463019250253",0.8,0.96,1
"Faecalibacillus_intestinalis","1",0.36,0.4,1
"Odoribacter_splanchnicus","0.55122462579012",0.6,0.72,1
"GGB9781_SGB15402","0.773287279187032",0.56,0.64,1
"Coprococcus_comes","1",0.68,0.64,1
"Coprococcus_catus","0.773287279187032",0.64,0.56,1
"Clostridiales_bacterium_KLE1615","0.156361771924298",0.4,0.64,1
"GGB6612_SGB9346","1",0.16,0.12,1
"Clostridium_SGB6173","0.4962044870325",0.16,0.28,1
"GGB9781_SGB66170","1",0.56,0.6,1
"Butyricimonas_virosa","0.196326205504226",0.16,0.36,1
"Dorea_sp_AF36_15AT","0.232095470796428",0.76,0.56,1
"Bilophila_wadsworthia","0.55122462579012",0.6,0.72,1
"GGB9765_SGB15382","1",0.32,0.36,1
"GGB9708_SGB15233","1",0.12,0.08,1
"Blautia_stercoris","1",0.24,0.24,1
"Bacteroides_cellulosilyticus","0.777511985060768",0.48,0.56,1
"Negativibacillus_massiliensis","0.345130671689608",0.2,0.36,1
"GGB13489_SGB15224","1",0.24,0.2,1
"Alistipes_senegalensis","0.701939162602201",0.2,0.12,1
"GGB9699_SGB15216","0.538025350078065",0.64,0.76,1
"Enterocloster_hominis","0.4962044870325",0.72,0.84,1
"Coprobacillus_cateniformis","1",0.4,0.36,1
"GGB9788_SGB15411","0.170622352801803",0.32,0.12,1
"GGB9635_SGB15106","0.701939162602201",0.2,0.12,1
"GGB2982_SGB3964","0.570915971188623",0.4,0.52,1
"Turicibacter_sanguinis","1",0.24,0.28,1
"Bacteroides_finegoldii","1",0.28,0.32,1
"GGB9602_SGB15028","1",0.12,0.12,1
"Blautia_SGB4815","0.396103959450655",0.56,0.4,1
"GGB9561_SGB14972","0.701939162602201",0.12,0.2,1
"Ruminococcus_lactaris","1",0.32,0.28,1
"GGB3497_SGB4672","0.701939162602201",0.2,0.12,1
"Eubacterium_ventriosum","1",0.32,0.32,1
"GGB9782_SGB15403","0.41742654508612",0.2,0.08,1
"Faecalibacterium_sp_HTFF","1",0.28,0.28,1
"Intestinimonas_massiliensis","0.570915971188623",0.4,0.52,1
"GGB3109_SGB4121","0.560744103424875",0.56,0.68,1
"Alistipes_ihumii","1",0.2,0.24,1
"GGB9502_SGB14899","0.776130071924499",0.52,0.6,1
"GGB9531_SGB14932","0.570915971188623",0.4,0.52,1
"Lachnospiraceae_bacterium_OF09_6","1",0.2,0.2,1
"Roseburia_lenta","0.725202447472273",0.16,0.24,1
"Lawsonibacter_hominis","0.560744103424875",0.32,0.44,1
"Clostridium_sp_AM49_4BH","1",0.36,0.36,1
"GGB9240_SGB14182","0.725202447472273",0.24,0.16,1
"GGB9365_SGB14341","0.393063750550864",0.52,0.36,1
"GGB9770_SGB15390","1",0.52,0.52,1
"GGB33586_SGB53517","1",0.4,0.44,1
"Parasutterella_excrementihominis","1",0.36,0.4,1
"Blautia_sp_OF03_15BH","1",0.4,0.36,1
"Roseburia_inulinivorans","0.139785384641228",0.52,0.76,1
"GGB9759_SGB15370","1",0.16,0.16,1
"Ruminococcus_gnavus","1",0.76,0.76,1
"Lentihominibacter_faecis","0.768812686013092",0.6,0.68,1
"GGB9818_SGB15459","0.667100882906354",0.16,0.08,1
"GGB51959_SGB72479","0.170622352801803",0.32,0.12,1
"Hydrogenoanaerobacterium_saccharovorans","0.377154177611743",0.28,0.44,1
"Butyricimonas_paravirosa","0.348675640468953",0.16,0.04,1
"GGB9787_SGB15410","1",0.16,0.12,1
"Clostridium_fessum","0.776130071924499",0.52,0.6,1
"GGB3588_SGB4808","0.701939162602201",0.2,0.12,1
"Lawsonibacter_asaccharolyticus","1",0.8,0.84,1
"GGB9198_SGB14137","0.41742654508612",0.08,0.2,1
"Mediterraneibacter_butyricigenes","0.396103959450655",0.56,0.4,1
"GGB43675_SGB61016","0.41742654508612",0.2,0.08,1
"Pseudoruminococcus_massiliensis","0.701939162602201",0.2,0.12,1
"Clostridium_spiroforme","0.572138432809168",0.44,0.56,1
"GGB9786_SGB15409","0.189463019250253",0.2,0.04,1
"GGB9667_SGB15164","0.396103959450655",0.4,0.56,1
"Christensenellaceae_bacterium","0.138333215522726",0.28,0.08,1
"Bifidobacterium_longum","0.773287279187032",0.64,0.56,1
"GGB9522_SGB14921","0.0792068906018773",0.52,0.24,1
"GGB3510_SGB4687","1",0.28,0.28,1
"Fusicatenibacter_sp_CLA_AA_H277","0.777511985060768",0.44,0.52,1
"GGB9641_SGB15117","0.701939162602201",0.2,0.12,1
"GGB45495_SGB63167","0.753613520041634",0.32,0.24,1
"GGB9760_SGB15373","0.25625435006028",0.36,0.56,1
"Cloacibacillus_evryensis","0.725202447472273",0.24,0.16,1
"GGB3475_SGB4638","0.113657057623459",0.4,0.16,1
"GGB3619_SGB4894","0.189463019250253",0.2,0.04,1
"Roseburia_sp_AF02_12","0.232095470796428",0.44,0.24,1
"Ruthenibacterium_lactatiformans","1",1,0.96,1
"GGB38744_SGB14842","1",0.68,0.64,1
"Blautia_faecicola","0.667100882906354",0.16,0.08,1
"Phocaeicola_dorei","0.777511985060768",0.44,0.52,1
"GGB9627_SGB15081","0.022289766970618",0.24,0,1
"Anaeromassilibacillus_senegalensis","0.572138432809168",0.56,0.44,1
"Neglectibacter_timonensis","0.36350159344089",0.76,0.6,1
"Turicibacter_bilis","1",0.16,0.2,1
"Faecalibacterium_sp_CLA_AA_H233","0.363501593440889",0.24,0.4,1
"Fournierella_massiliensis","1",0.12,0.08,1
"GGB45432_SGB63101","1",0.76,0.72,1
"Clostridiales_bacterium_Marseille_P2846","1",0.36,0.36,1
"Marvinbryantia_SGB4691","1",0.36,0.32,1
"Wansuia_hejianensis","1",0.92,0.92,1
"Anaerotruncus_massiliensis","0.25625435006028",0.36,0.56,1
"Coprobacter_secundus","0.667100882906354",0.08,0.16,1
"Lachnospiraceae_bacterium_CLA_AA_H215","0.725202447472273",0.24,0.16,1
"Holdemania_filiformis","0.0377584473117957",0.2,0.52,1
"Sutterella_wadsworthensis","0.4962044870325",0.16,0.28,1
"Alistipes_finegoldii","0.570915971188623",0.48,0.6,1
"Provencibacterium_massiliense","1",0.32,0.36,1
"GGB9646_SGB15123","1",0.16,0.16,1
"Gordonibacter_urolithinfaciens","1",0.56,0.56,1
"GGB2653_SGB3574","0.00366522937124072",0.36,0.8,0.897981195953976
"GGB9775_SGB15395","0.4962044870325",0.16,0.28,1
"Anaerotignum_faecicola","1",0.24,0.24,1
"Faecalicatena_contorta","1",0.56,0.6,1
"Congzhengia_minquanensis","0.667100882906354",0.16,0.08,1
"GGB51441_SGB71759","0.725202447472273",0.24,0.16,1
"Eubacteriaceae_bacterium","1",0.56,0.52,1
"Eubacterium_sp_AF16_48","0.667100882906354",0.08,0.16,1
"Flavonifractor_plautii","0.246718974576471",0.76,0.92,1
"Desulfovibrio_desulfuricans","0.701939162602201",0.2,0.12,1
"Streptococcus_mitis","1",0.12,0.16,1
"GGB9237_SGB14179","0.463490492683961",0.24,0.12,1
"GGB3480_SGB4648","1",0.16,0.16,1
"GGB45491_SGB63163","0.773287279187032",0.36,0.44,1
"GGB9301_SGB14262","0.41742654508612",0.2,0.08,1
"Clostridiaceae_bacterium_Marseille_Q4143","1",0.2,0.24,1
"Clostridium_leptum",NA,1,1,NA
"Yeguia_hominis","0.41742654508612",0.2,0.08,1
"GGB9707_SGB15229","1",0.12,0.08,1
"Eubacterium_ramulus","0.25625435006028",0.44,0.64,1
"GGB2980_SGB3962","1",0.52,0.48,1
"Mediterraneibacter_massiliensis","1",0.28,0.28,1
"Anaerofilum_hominis","0.741643326683333",0.28,0.2,1
"Oscillospiraceae_bacterium_Marseille_Q3528","1",0.28,0.32,1
"Blautia_hydrogenotrophica","0.377154177611743",0.56,0.72,1
"Clostridium_sp_Marseille_P3244","1",0.24,0.24,1
"GGB9712_SGB15244","1",0.16,0.12,1
"Bittarella_massiliensis","0.572138432809168",0.44,0.56,1
"Roseburia_sp_BX1005","0.41742654508612",0.08,0.2,1
"Raoultibacter_massiliensis","0.667100882906354",0.08,0.16,1
"Hungatella_hathewayi","0.25625435006028",0.56,0.36,1
"Clostridiaceae_bacterium_AF18_31LB","0.320891030139048",0.16,0.32,1
"GGB9512_SGB14909","0.570915971188623",0.6,0.48,1
"Anaerotruncus_rubiinfantis","0.768812686013093",0.4,0.32,1
"Schaalia_odontolytica","1",0.36,0.36,1
"Christensenella_minuta","1",0.32,0.28,1
"Intestinimonas_butyriciproducens","0.153647299692342",0.44,0.68,1
"Enterocloster_lavalensis","0.345130671689608",0.2,0.36,1
"Clostridiales_bacterium","0.251590393225374",0.48,0.68,1
"GGB9545_SGB14952","1",0.12,0.16,1
"GGB45613_SGB63326","0.189463019250253",0.04,0.2,1
"GGB9480_SGB14874","0.0450045404792315",0.28,0.6,1
"Eggerthella_lenta","0.41742654508612",0.8,0.92,1
"Oliverpabstia_intestinalis","1",0.64,0.6,1
"Ruminococcus_bicirculans","0.128353795024484",0.2,0.44,1
"Phascolarctobacterium_faecium","0.377154177611743",0.28,0.44,1
"Roseburia_hominis","0.701939162602201",0.8,0.88,1
"Erysipelatoclostridium_ramosum","1",0.52,0.56,1
"GGB74511_SGB47635","0.463490492683961",0.12,0.24,1
"Vescimonas_coprocola","0.25779115895468",0.6,0.4,1
"Frisingicoccus_SGB4674","0.0954880141331806",0.12,0.36,1
"bacterium_210917_DFI_7_65","1",0.2,0.24,1
"Blautia_sp_MCC283","0.4962044870325",0.16,0.28,1
"Schaalia_SGB17168","1",0.2,0.2,1
"GGB9621_SGB15073","0.41742654508612",0.08,0.2,1
"GGB9767_SGB15385","1",0.08,0.12,1
"Bacteroides_nordii","1",0.24,0.28,1
"GGB9453_SGB14844","0.232095470796428",0.24,0.44,1
"Streptococcus_thermophilus","0.768812686013092",0.6,0.68,1
"GGB74505_SGB47518","1",0.16,0.2,1
"GGB9715_SGB15265","0.701939162602201",0.2,0.12,1
"Roseburia_intestinalis","0.345130671689608",0.64,0.8,1
"Clostridia_bacterium_UC5_1_1D1","0.0420781361906629",0.44,0.76,1
"Intestinimonas_gabonensis","1",0.16,0.2,1
"Longicatena_caecimuris","0.0845109983749081",0.28,0.56,1
"GGB9412_SGB14770","0.753613520041634",0.32,0.24,1
"Lachnospiraceae_bacterium_OM04_12BH","1",0.08,0.12,1
"GGB9547_SGB14954","1",0.16,0.2,1
"GGB9719_SGB15273","1",0.4,0.36,1
"Bacteroides_xylanisolvens","1",0.52,0.52,1
"GGB2998_SGB3988","1",0.08,0.12,1
"GGB9559_SGB14969","1",0.16,0.16,1
"GGB3005_SGB3996","0.386845141437656",0.52,0.68,1
"Mediterraneibacter_glycyrrhizinilyticus","0.393063750550864",0.48,0.64,1
"Cuneatibacter_sp_NSJ_177","1",0.56,0.56,1
"Lactococcus_lactis","0.243634231565828",0.28,0.48,1
"GGB2848_SGB3813","0.701939162602201",0.2,0.12,1
"Bianquea_SGB71281","1",0.16,0.12,1
"Holdemania_sp_1001095H_141210_F2","0.363501593440889",0.4,0.24,1
"GGB3061_SGB4063","0.762413037183005",0.28,0.36,1
"GGB3537_SGB4727","0.0321569683995915",0.16,0.48,1
"Massiliimalia_massiliensis","1",0.36,0.4,1
"Clostridium_sp_AM22_11AC","1",0.2,0.2,1
"GGB74463_SGB54347","1",0.16,0.16,1
"Enterocloster_bolteae","0.773287279187032",0.56,0.64,1
"Streptococcus_australis","0.55122462579012",0.28,0.4,1
"Anaerofustis_stercorihominis","1",0.48,0.44,1
"Massiliimalia_timonensis","0.538025350078065",0.24,0.36,1
"Lentihominibacter_hominis","0.701939162602201",0.12,0.2,1
"Youxingia_wuxianensis","1",0.12,0.08,1
"Bifidobacterium_pseudocatenulatum","1",0.2,0.2,1
"Dialister_invisus","1",0.24,0.2,1
"Evtepia_gabavorous","1",0.68,0.64,1
"Clostridia_bacterium","0.741643326683333",0.28,0.2,1
"Gordonibacter_pamelaeae","1",0.44,0.48,1
"Hydrogeniiclostridium_mannosilyticum","1",0.4,0.44,1
"Clostridium_sp_AT4","0.753613520041634",0.24,0.32,1
"Clostridiaceae_bacterium_Marseille_Q3526","0.41742654508612",0.08,0.2,1
"Eisenbergiella_massiliensis","1",0.48,0.48,1
"GGB9186_SGB14125","1",0.2,0.24,1
"GGB3819_SGB5184","0.128353795024484",0.2,0.44,1
"Streptococcus_parasanguinis","1",0.72,0.72,1
"GGB3433_SGB4574","0.520194749554762",0.32,0.2,1
"GGB2987_SGB3969","1",0.2,0.2,1
"GGB3511_SGB4688","1",0.28,0.32,1
"Intestinibacter_bartlettii","1",0.4,0.44,1
"Pseudoflavonifractor_phocaeensis","1",0.12,0.12,1
"GGB3550_SGB4746","1",0.16,0.12,1
"Sellimonas_intestinalis","1",0.36,0.4,1
"Guopingia_tenuis","1",0.56,0.52,1
"Zhenpiania_hominis","0.773287279187032",0.56,0.64,1
"Mediterraneibacter_sp_NSJ_151","1",0.12,0.12,1
"Schaalia_SGB17153","0.0982776089159067",0.24,0.04,1
"GGB9719_SGB53514","0.246718974576471",0.24,0.08,1
