"species","p_value","LBD","LBD_control","qval"
"Actinomyces_oris","0.00305106952383718",0.6,0.16,0.897981195953976
"GGB2653_SGB3574","0.00366522937124072",0.36,0.8,0.897981195953976
"GGB3730_SGB5060","0.00962512664640325",0.28,0,1
"Akkermansia_muciniphila","0.0222412956917225",0.72,0.36,1
"GGB9627_SGB15081","0.022289766970618",0.24,0,1
"Bianquea_renquensis","0.0232154217451453",0.04,0.32,1
"Eubacterium_rectale","0.0232154217451454",0.68,0.96,1
"GGB3537_SGB4727","0.0321569683995915",0.16,0.48,1
"Lachnospira_pectinoschiza","0.0321569683995915",0.16,0.48,1
"GGB9719_SGB15272","0.0374296615256088",0.08,0.36,1
"Oscillospiraceae_bacterium_CLA_AA_H250","0.0377584473117957",0.8,0.48,1
"Holdemania_filiformis","0.0377584473117957",0.2,0.52,1
"Clostridia_bacterium_UC5_1_1D1","0.0420781361906629",0.44,0.76,1
"GGB9480_SGB14874","0.0450045404792315",0.28,0.6,1
"Clostridiaceae_unclassified_SGB15090","0.0487971536957187",0.28,0.04,1
