"species","p_value","iRBD","iRBD_control","qval"
"Escherichia_coli","0.169802333889021",0.8,0.4,1
"Alistipes_onderdonkii","0.582043343653251",0.9,0.7,1
"Phocaeicola_vulgatus","0.582043343653251",0.9,0.7,1
"Barnesiella_intestinihominis","0.0697785186949273",0.7,0.2,1
"Faecalibacterium_prausnitzii",NA,1,1,NA
"Rikenellaceae_bacterium","1",0.4,0.5,1
"Gemmiger_SGB15295","1",0.3,0.2,1
"Alistipes_putredinis","1",0.9,0.9,1
"Alistipes_shahii","1",0.9,0.8,1
"Coprococcus_eutactus","1",0.3,0.2,1
"Fusicatenibacter_saccharivorans","1",1,0.9,1
"GGB9345_SGB14311","0.369849964277209",0.6,0.3,1
"Candidatus_Cibionibacter_quicibialis","1",0.9,0.9,1
"GGB34797_SGB14322","0.582043343653251",0.3,0.1,1
"GGB9708_SGB15234","1",0.7,0.6,1
"GGB33512_SGB15201","0.628482972136223",0.4,0.2,1
"Blautia_wexlerae",NA,1,1,NA
"Blautia_obeum",NA,1,1,NA
"Methanobrevibacter_smithii","0.34984520123839",0.8,0.5,1
"GGB9760_SGB15374","0.140866873065015",0.5,0.1,1
"GGB9602_SGB15031","0.649916646820672",0.5,0.3,1
"GGB9715_SGB15260","1",0.3,0.3,1
"Monoglobus_pectinilyticus","1",0.4,0.5,1
"Akkermansia_muciniphila","0.649916646820672",0.7,0.5,1
"GGB3278_SGB4328","1",0.1,0.2,1
"Parabacteroides_distasonis","0.210526315789474",1,0.7,1
"Bacteroides_stercoris","1",0.5,0.4,1
"Ruminococcus_bromii","0.086687306501548",1,0.6,1
"Odoribacter_laneus","0.628482972136223",0.4,0.2,1
"Collinsella_aerofaciens","0.140866873065015",0.9,0.5,1
"GGB87445_SGB15180","1",0.2,0.3,1
"Mediterraneibacter_faecis","0.582043343653251",0.9,0.7,1
"Blautia_faecis",NA,1,1,NA
"Agathobaculum_butyriciproducens","0.582043343653251",0.7,0.9,1
"GGB3304_SGB4367","1",0.1,0.2,1
"GGB4567_SGB6308","1",0.1,0.1,1
"Clostridiaceae_bacterium","1",1,0.9,1
"Lachnospiraceae_bacterium","1",0.9,0.9,1
"Oscillospiraceae_bacterium","1",0.5,0.5,1
"Anaerostipes_hadrus","1",0.9,1,1
"Alistipes_communis","0.178895407997575",0.7,0.3,1
"Bacteroides_uniformis","1",1,0.9,1
"GGB4599_SGB6362","0.210526315789474",0.3,0,1
"Anaerobutyricum_soehngenii","0.210526315789474",1,0.7,1
"GGB36331_SGB15121","1",0.1,0.1,1
"Romboutsia_timonensis","0.582043343653251",0.9,0.7,1
"GGB9747_SGB15356","1",0.2,0.1,1
"Oscillibacter_sp_MSJ_31","0.649916646820672",0.7,0.5,1
"GGB9342_SGB14306","0.582043343653251",0.3,0.1,1
"Gemmiger_formicilis","0.473684210526316",1,0.8,1
"Oscillospiraceae_bacterium_CLA_AA_H250","1",0.9,0.8,1
"Roseburia_faecis","0.169802333889021",0.8,0.4,1
"Bacteroides_caccae","0.303405572755418",0.9,0.6,1
"GGB3653_SGB4964",NA,1,1,NA
"Parabacteroides_goldsteinii","0.086687306501548",0.4,0,1
"Parabacteroides_merdae","1",0.7,0.6,1
"Brotolimicola_acetigignens","1",0.7,0.6,1
"Eubacterium_rectale","1",0.8,0.8,1
"Eubacterium_siraeum","1",0.6,0.6,1
"Faecalibacterium_SGB15346","0.628482972136223",0.8,0.6,1
"Blautia_luti","0.0572755417956657",0.6,0.1,1
"Dorea_longicatena","1",0.8,0.7,1
"GGB9350_SGB14317","1",0.2,0.1,1
"GGB33469_SGB15236","0.649916646820672",0.5,0.3,1
"Oscillibacter_sp_ER4","1",0.5,0.6,1
"Ruminococcus_torques","0.0325077399380805",1,0.5,1
"Lachnospiraceae_bacterium_CLA_AA_H244","0.649916646820672",0.7,0.5,1
"Adlercreutzia_equolifaciens","1",0.9,0.8,1
"GGB1096_SGB1408","1",0.1,0.1,1
"Bacteroides_ovatus","1",0.8,0.7,1
"GGB33512_SGB15203","1",0.3,0.3,1
"GGB4723_SGB6540","0.473684210526316",0.2,0,1
"GGB9730_SGB15291","0.369849964277209",0.6,0.3,1
"Lachnospira_eligens","0.582043343653251",0.7,0.9,1
"Anaerobutyricum_hallii","1",0.8,0.8,1
"GGB9783_SGB15405","1",0.2,0.1,1
"GGB9524_SGB14924","1",0.3,0.3,1
"GGB9176_SGB14114","1",0.4,0.3,1
"Phascolarctobacterium_succinatutens","0.473684210526316",0.2,0,1
"Faecalicatena_fissicatena","0.169802333889021",0.2,0.6,1
"Blautia_massiliensis","0.473684210526316",1,0.8,1
"GGB9261_SGB14209","0.473684210526316",0.2,0,1
"GGB9291_SGB14248","0.473684210526316",0.2,0,1
"Senegalimassilia_anaerobia","1",0.1,0.1,1
"GGB9694_SGB15204","0.582043343653251",0.3,0.1,1
"Clostridiaceae_bacterium_Marseille_Q4149","0.210526315789474",0,0.3,1
"Clostridium_sp_AF36_4","0.649916646820672",0.7,0.5,1
"Clostridium_SGB6179","1",0.3,0.4,1
"Oscillibacter_valericigenes","1",0.8,0.9,1
"GGB4597_SGB6359","1",0.2,0.1,1
"GGB32900_SGB53446","1",0.6,0.5,1
"GGB4552_SGB6276","1",0.3,0.2,1
"Streptococcus_salivarius","1",0.9,0.9,1
"GGB9770_SGB15389","0.628482972136223",0.4,0.2,1
"Bacteroides_thetaiotaomicron","1",0.7,0.7,1
"Dorea_formicigenerans","1",0.9,0.8,1
"Blautia_glucerasea","0.473684210526316",1,0.8,1
"Dysosmobacter_welbionis","1",0.6,0.6,1
"Faecalibacillus_intestinalis","0.369849964277209",0.7,0.4,1
"Odoribacter_splanchnicus","1",0.9,0.8,1
"GGB9781_SGB15402","0.0572755417956657",0.9,0.4,1
"Coprococcus_comes","1",0.9,0.8,1
"Coprococcus_catus","1",0.7,0.6,1
"Clostridiales_bacterium_KLE1615","0.303405572755418",0.9,0.6,1
"GGB3740_SGB5077","1",0.1,0.2,1
"Clostridium_SGB6173","1",0.1,0.1,1
"GGB9781_SGB66170","0.169802333889021",0.8,0.4,1
"Butyricimonas_virosa","0.628482972136223",0.2,0.4,1
"Dorea_sp_AF36_15AT","1",0.8,0.8,1
"Butyricimonas_faecihominis","1",0.3,0.2,1
"Eubacterium_SGB4961","1",0.2,0.1,1
"Bilophila_wadsworthia","1",0.5,0.5,1
"GGB9765_SGB15382","1",0.4,0.3,1
"GGB9708_SGB15233","0.628482972136223",0.4,0.2,1
"Blautia_stercoris","0.628482972136223",0.4,0.2,1
"Bacteroides_cellulosilyticus","1",0.4,0.4,1
"Negativibacillus_massiliensis","0.140866873065015",0.5,0.1,1
"GGB13489_SGB15224","0.303405572755418",0.4,0.1,1
"Alistipes_senegalensis","0.582043343653251",0.1,0.3,1
"GGB9699_SGB15216","0.0572755417956657",0.9,0.4,1
"Enterocloster_hominis","0.649916646820672",0.7,0.5,1
"GGB9788_SGB15411","0.582043343653251",0.3,0.1,1
"GGB6649_SGB9391","0.473684210526316",0.2,0,1
"GGB9635_SGB15106","1",0.4,0.4,1
"GGB2982_SGB3964","1",0.5,0.4,1
"Turicibacter_sanguinis","1",0.3,0.4,1
"Bacteroides_finegoldii","1",0.4,0.3,1
"GGB9602_SGB15028","1",0.1,0.1,1
"Blautia_SGB4815","1",0.7,0.8,1
"Ruminococcus_lactaris","1",0.4,0.5,1
"GGB3497_SGB4672","0.303405572755418",0.4,0.1,1
"Eubacterium_ventriosum","0.656281798696659",0.6,0.4,1
"GGB9782_SGB15403","1",0.3,0.2,1
"Faecalibacterium_sp_HTFF","1",0.6,0.6,1
"Intestinimonas_massiliensis","0.628482972136223",0.4,0.2,1
"GGB3109_SGB4121","1",0.8,0.7,1
"Alistipes_ihumii","0.303405572755418",0.1,0.4,1
"GGB9502_SGB14899","1",0.7,0.6,1
"Lachnospiraceae_bacterium_OF09_6","0.473684210526316",0.2,0,1
"Roseburia_lenta","1",0.3,0.3,1
"Yanshouia_hominis","0.582043343653251",0.3,0.1,1
"Lawsonibacter_hominis","1",0.4,0.3,1
"Clostridium_sp_AM49_4BH","0.369849964277209",0.6,0.3,1
"GGB9240_SGB14182","1",0.3,0.2,1
"GGB9365_SGB14341","0.369849964277209",0.6,0.3,1
"GGB9770_SGB15390","0.369849964277209",0.7,0.4,1
"GGB33586_SGB53517","1",0.2,0.3,1
"Parasutterella_excrementihominis","0.628482972136223",0.4,0.2,1
"Blautia_sp_OF03_15BH","0.34984520123839",0.5,0.2,1
"Roseburia_inulinivorans","0.582043343653251",0.9,0.7,1
"GGB9759_SGB15370","1",0.2,0.2,1
"Ruminococcus_gnavus","0.649916646820672",0.5,0.7,1
"Lentihominibacter_faecis","0.582043343653251",0.9,0.7,1
"GGB4750_SGB6579","1",0.1,0.1,1
"GGB9109_SGB14042","1",0.1,0.1,1
"GGB51959_SGB72479","0.582043343653251",0.3,0.1,1
"Hydrogenoanaerobacterium_saccharovorans","1",0.3,0.4,1
"Butyricimonas_paravirosa","0.582043343653251",0.3,0.1,1
"GGB9787_SGB15410","1",0.1,0.1,1
"Clostridium_fessum","0.369849964277209",0.7,0.4,1
"Lawsonibacter_asaccharolyticus","0.582043343653251",0.9,0.7,1
"GGB9198_SGB14137","1",0.2,0.2,1
"Mediterraneibacter_butyricigenes","0.178895407997575",0.7,0.3,1
"GGB43675_SGB61016","0.473684210526316",0.2,0,1
"Pseudoruminococcus_massiliensis","1",0.2,0.3,1
"Clostridium_spiroforme","0.628482972136223",0.2,0.4,1
"GGB9296_SGB14253","0.582043343653251",0.3,0.1,1
"GGB9786_SGB15409","0.086687306501548",0.4,0,1
"GGB9667_SGB15164","1",0.4,0.3,1
"Christensenellaceae_bacterium","0.086687306501548",0.4,0,1
"Bifidobacterium_longum","1",0.6,0.7,1
"GGB9522_SGB14921","0.369849964277209",0.6,0.3,1
"GGB3510_SGB4687","0.0572755417956657",0.6,0.1,1
"Fusicatenibacter_sp_CLA_AA_H277","0.628482972136223",0.6,0.8,1
"GGB9641_SGB15117","1",0.3,0.4,1
"GGB45495_SGB63167","1",0.3,0.4,1
"GGB10692_SGB17347","1",0.1,0.2,1
"GGB9760_SGB15373","1",0.4,0.4,1
"Cloacibacillus_evryensis","1",0.3,0.2,1
"GGB3475_SGB4638","1",0.3,0.4,1
